u,v,x,y,z,r,g,b
738,775,0.095459,-0.110901,-0.355225,0.11764705882352941,0.12156862745098039,0.10588235294117647
742,775,0.0971069,-0.110901,-0.355225,0.11372549019607843,0.10196078431372549,0.08235294117647059
738,779,0.0951538,-0.112244,-0.354248,0.12941176470588237,0.12941176470588237,0.12941176470588237
742,779,0.0968018,-0.112244,-0.354248,0.11372549019607843,0.10196078431372549,0.08235294117647059
746,779,0.0984497,-0.112244,-0.354248,0.14901960784313725,0.12156862745098039,0.09019607843137255
734,783,0.0935059,-0.113892,-0.354248,0.13725490196078433,0.14901960784313725,0.1607843137254902
738,783,0.0951538,-0.113892,-0.354248,0.12549019607843137,0.12549019607843137,0.12549019607843137
742,783,0.0968018,-0.113892,-0.354248,0.1607843137254902,0.1411764705882353,0.12549019607843137
746,783,0.0984497,-0.113892,-0.354248,0.12549019607843137,0.09019607843137255,0.06274509803921569
734,787,0.0935059,-0.11554,-0.354248,0.14901960784313725,0.1607843137254902,0.17254901960784313
738,787,0.0951538,-0.11554,-0.354248,0.14901960784313725,0.16470588235294117,0.1450980392156863
742,787,0.0968018,-0.11554,-0.354248,0.13333333333333333,0.13725490196078433,0.10196078431372549
746,787,0.0984497,-0.11554,-0.354248,0.12549019607843137,0.09019607843137255,0.06274509803921569
734,791,0.0935059,-0.117188,-0.354248,0.1411764705882353,0.1411764705882353,0.1568627450980392
738,791,0.0951538,-0.117188,-0.354248,0.12549019607843137,0.12549019607843137,0.13333333333333333
742,791,0.0968018,-0.117188,-0.354248,0.17254901960784313,0.16470588235294117,0.13333333333333333
746,791,0.0984497,-0.117188,-0.354248,0.1568627450980392,0.12156862745098039,0.10196078431372549
738,795,0.0949097,-0.118469,-0.353271,0.1450980392156863,0.1411764705882353,0.1411764705882353
742,795,0.0965576,-0.118469,-0.353271,0.17254901960784313,0.1450980392156863,0.12156862745098039
746,795,0.0981445,-0.118469,-0.353271,0.1568627450980392,0.12156862745098039,0.09411764705882353
738,799,0.0949097,-0.120117,-0.353271,0.12549019607843137,0.13725490196078433,0.14901960784313725
742,799,0.0965576,-0.120117,-0.353271,0.12156862745098039,0.12156862745098039,0.10588235294117647
